factor,periods,high_minus_low_mean,high_beats_low_rate,quantile_monotonic_correlation
ir,43,0.004869982527317873,0.627906976744186,0.19999999999999998
ann_return,43,0.003947084286693129,0.5813953488372093,0.0
sharpe,43,0.002817460304202813,0.5348837209302325,0.09999999999999999
score,43,0.0020732140527519064,0.5348837209302325,0.39999999999999997
ann_vol,43,-0.006578043002636844,0.5348837209302325,-0.8999999999999998
mdd,43,-0.00886069205188387,0.4883720930232558,-0.6
down_vol,43,-0.009659579796920609,0.5116279069767442,-0.8999999999999998
