scheme,period,start,end,net_total_return,net_cagr,net_sharpe,net_max_drawdown,benchmark_total_return,benchmark_cagr,benchmark_sharpe,excess_total_return,excess_cagr,beat_benchmark,annualized_turnover,total_transaction_cost
baseline_corrected,full,2023-02-01,2026-08-21,0.15632107836310527,0.04175023994919003,0.30692867944936947,-0.2818394510379739,0.2090658489022148,0.05491835278834967,0.3866460675177516,-0.05274477053910953,-0.01316811283915964,False,3.069564379336932,0.021799999999999996
return_ir,full,2023-02-01,2026-08-21,0.20427225347159061,0.05373884730137335,0.34563121601946034,-0.32124770181963314,0.2090658489022148,0.05491835278834967,0.3866460675177516,-0.004793595430624187,-0.0011795054869763177,False,2.9850809560524283,0.0212
sharpe_ir,full,2023-02-01,2026-08-21,0.17840329279874068,0.047314675463001166,0.32510582658211123,-0.3273266304396709,0.2090658489022148,0.05491835278834967,0.3866460675177516,-0.030662556103474126,-0.007603677325348501,False,3.2103700848111023,0.0228
return_sharpe_ir,full,2023-02-01,2026-08-21,0.16892684399553182,0.044935986919241167,0.31009838015127694,-0.349526085719268,0.2090658489022148,0.05491835278834967,0.3866460675177516,-0.040139004906682985,-0.0099823658691085,False,3.0977255204317653,0.022
