factor,quantile,periods,mean_forward_return,median_forward_return,positive_rate,cumulative_return
ann_return,1,43,0.0026846608111038782,-0.0002727812167771848,0.46511627906976744,0.06248254477595827
ann_return,2,43,0.00776673347377625,-0.0011279425115853447,0.4883720930232558,0.31014863509094726
ann_return,3,43,0.00764335107881264,-0.0008746148783514651,0.4883720930232558,0.2945174216195614
ann_return,4,43,0.007025830488571797,0.0007156766550642013,0.5116279069767442,0.20249382956163275
ann_return,5,43,0.006631745097797009,-0.006726905106191427,0.4418604651162791,0.17758304708669614
ann_vol,1,43,0.009368833529828346,-0.003932200150856713,0.46511627906976744,0.28171007153011285
ann_vol,2,43,0.009994392498709712,0.004313590895113228,0.5116279069767442,0.40072800479351467
ann_vol,3,43,0.005657813557837328,0.0002051259905854419,0.5116279069767442,0.1757702190740178
ann_vol,4,43,0.0040257867924243665,-0.0019950386546937595,0.46511627906976744,0.12259598570119667
ann_vol,5,43,0.0027907905271915045,-0.0005038396994493155,0.4883720930232558,0.09047203047665997
down_vol,1,43,0.01119340730602501,-0.002087615670444287,0.46511627906976744,0.38822431999551554
down_vol,2,43,0.008166801003319742,-0.0011772164208442403,0.46511627906976744,0.30721360299520484
down_vol,3,43,0.004803084168647933,-0.004699892706675701,0.46511627906976744,0.12863578336811
down_vol,4,43,0.006151717235624072,0.001135538899056454,0.5348837209302325,0.22691350752384376
down_vol,5,43,0.0015338275091043962,-0.00045369645804447243,0.4883720930232558,0.032482737728877886
ir,1,43,0.0023287229988475616,0.002358088814230519,0.5116279069767442,0.04913913568264694
ir,2,43,0.007295669935705164,-0.00013881813104075214,0.4883720930232558,0.29278327145624994
ir,3,43,0.008961401261325433,-0.005440675391134198,0.4883720930232558,0.35997243969380444
ir,4,43,0.005929292158674799,-0.0068389912294894994,0.4418604651162791,0.14016014791277964
ir,5,43,0.0071987055261654356,-0.0070667603663876035,0.4418604651162791,0.21875398220890996
mdd,1,43,0.00897305016981558,-0.014137075122105635,0.4186046511627907,0.339839030205215
mdd,2,43,0.009459008842790715,-0.0012949070999830003,0.46511627906976744,0.39148646743770943
mdd,3,43,0.011379950411152404,-0.003920077603214802,0.46511627906976744,0.4954293861887096
mdd,4,43,0.0019323533370435879,0.005964985090573948,0.5348837209302325,-0.014970893321034962
mdd,5,43,0.00011235811793170848,0.000569871614387496,0.5116279069767442,-0.04338062182141167
score,1,43,0.004186698533475211,-0.0029908537441102776,0.4883720930232558,0.1239275509602733
score,2,43,0.011499064227434712,-0.0011279425115853447,0.4883720930232558,0.5317383174600951
score,3,43,0.004794205228264007,-0.002359360256939058,0.46511627906976744,0.1215460312884824
score,4,43,0.005014243539307654,0.0034695110491753554,0.5116279069767442,0.1331381515910981
score,5,43,0.0062599125862271175,0.006395701203237259,0.5348837209302325,0.18566964844012013
sharpe,1,43,0.003006794415468006,-0.0034048395047860504,0.46511627906976744,0.08006545562270007
sharpe,2,43,0.009021181261150386,-0.0021417926035748438,0.46511627906976744,0.37704358561463236
sharpe,3,43,0.008390311509875592,0.0003139345228832857,0.5348837209302325,0.31004566648246423
sharpe,4,43,0.005522575760537012,-0.001373129827237618,0.46511627906976744,0.15364283038113147
sharpe,5,43,0.00582425471967082,-0.006138160987406593,0.46511627906976744,0.1487786436453875
